week,ctv_spend,linear_tv_spend,search_spend,social_spend,conversions
2024-09-22,49285.65474326504,117356.6166725338,29509.23344966064,17133.18829889635,5343.35796043291
2024-09-29,56704.71180504979,78665.26984255936,28456.67099329935,19715.27392594776,5222.975793308678
2024-10-06,74962.33483042948,102262.16693262641,27189.195371984017,25526.78108474776,5267.237311688409
2024-10-13,81535.3125825451,103356.80911515444,44152.92939185526,22456.72652166014,5593.332430318139
2024-10-20,74919.65406564047,110507.0096080816,34712.537154197045,17416.11602302307,5477.085467096072
2024-10-27,71778.24451601163,84275.53348533128,23183.947777948037,18196.424936654188,5169.124744752298
2024-11-03,69964.64590924133,83739.57180971763,38615.36061652027,13381.825740889155,5226.260731376047
2024-11-10,56350.788265364696,108767.57537208205,47270.80369461448,18430.697357481506,5560.639627616678
2024-11-17,66066.09120620237,106638.50253371903,39910.353820643795,17232.762232134028,5416.771429516945
2024-11-24,69875.04579024849,106985.23330699374,22353.096319094504,20464.270562131933,5110.761112124531
2024-12-01,88864.02566385467,109318.63492054814,29938.48103022335,14908.485019545304,5223.724530428298
2024-12-08,81144.09563693292,96927.10339806708,42564.92386523009,21851.90161173371,5456.40788737331
2024-12-15,56760.52519315305,110201.63350659583,29135.004328327355,27142.946329389353,5324.358947834905
2024-12-22,82743.71308766784,112293.77664807177,37605.669633555604,19169.875621448286,5448.064262091435
2024-12-29,75199.334577577,100323.50395308954,40343.82922388096,21963.639096137907,5511.088546902304
2025-01-05,72676.9359963285,135728.2235471108,28861.48669895342,23650.719958555565,5370.959444732734
2025-01-12,89119.79352351761,118701.65188499799,35361.93165769179,18438.81715492762,5427.681326671364
2025-01-19,95117.2888150211,98049.57383639585,13512.194982984478,21806.786045319506,5058.397023830911
2025-01-26,94858.3543718885,123730.62292989598,29440.59592300115,20983.710239532506,5220.591339249422
2025-02-02,74508.71355921695,103430.77223009619,35235.47711932415,21633.211452216314,5403.158994439819
2025-02-09,81710.89254055775,127843.9982142123,28637.398185958944,17490.31134341575,5495.10655444755
2025-02-16,90172.45013507681,133814.73396046957,49138.19304674885,21671.873110853223,5839.380818852982
2025-02-23,98602.31981852942,108648.68855071646,28005.913357489804,24213.936029492525,5582.115717142085
2025-03-02,81756.85699608269,133038.61820008603,35203.978277595066,29132.45500153175,5712.3687937916
2025-03-09,85794.2020237214,126479.1091331317,39424.857053865795,26801.881566347838,5816.7983819702
2025-03-16,75157.95640725714,132447.9112430053,48778.777565169454,32874.40631139015,6118.136884045969
2025-03-23,74382.28581967113,147050.71967041097,28771.299764273568,18347.45351271955,5787.849120461644
2025-03-30,98676.5962461302,119034.52063768686,47047.39655519714,26593.174777953347,5931.964052725323
2025-04-06,105274.88034284988,112425.68263048114,39009.13142713711,23166.71002869176,5877.746773824563
2025-04-13,88092.93414920504,110574.36099017554,32048.1512712383,33188.27856813063,5747.964585415853
2025-04-20,100840.69854488193,111328.97192245047,42083.98221929562,18158.084515768656,5927.03822651233
2025-04-27,92865.91608820877,120705.89764373493,40123.66702610554,17932.96173600541,5890.6211750204675
2025-05-04,80403.74961150266,125702.8377343804,34362.001026597754,19039.333439470924,5777.316011378627
2025-05-11,91997.5412701733,124185.91030675572,38840.21197171178,11295.719879469048,5810.5113978095005
2025-05-18,105536.83247526814,130654.3601940807,35400.47705595115,19141.32331101532,5865.387625704774
2025-05-25,85982.76110429926,118989.05113651404,38600.16610521691,17807.50508563618,6028.461863672891
2025-06-01,104443.31876669425,136979.59280175008,42114.487489052524,22168.867656612583,6143.828755944425
2025-06-08,53419.30566573475,113183.86930912505,48226.72573824757,22922.841607588718,6104.499247625232
2025-06-15,93853.51530268913,151393.42521798934,28081.216305168626,30378.525508626044,6080.422098364582
2025-06-22,84128.32090238929,122498.97360535355,51280.37690913878,25523.05821181306,6210.261277416093
2025-06-29,78560.82062106757,101640.26989195979,22275.53301500535,17652.70892835248,5747.998980423693
2025-07-06,82301.12931842603,97514.21902559332,34462.50433475092,15807.92664325821,5836.128067007369
2025-07-13,56400.264198131306,116713.88624455534,39228.072833729166,22522.368650868033,5884.094955061323
2025-07-20,76680.18126241863,106110.12661884331,36667.799787600314,13227.89494401398,5718.186874979249
2025-07-27,82694.66560795452,117237.61430300925,29945.178564299273,28759.62251672516,5760.644978879699
2025-08-03,95278.48162208652,112869.39713650473,32468.536222268962,25283.138874903514,5786.397008222752
2025-08-10,70513.16248379006,104545.7153696558,30119.420689982966,16837.223015244934,5631.415150087297
2025-08-17,66285.40319166308,93304.89675777138,29118.902012932347,10431.158961140944,5554.996125918196
2025-08-24,69298.52179930908,83568.47532734141,38899.54244516371,25599.263451407944,5745.419374761039
2025-08-31,85724.03140835257,96872.41087711586,35197.51102497369,18112.102272718832,5567.5382466222245
2025-09-07,78199.82664915206,113404.83241826914,27636.11366646611,24752.78489317627,5600.389002971368
2025-09-14,67516.59376715837,104402.39721451761,38616.9499709415,10496.290759118874,5553.345870728911
2025-09-21,79760.90542718262,84758.58043700749,34351.83874668354,15403.548942686724,5472.561907412892
2025-09-28,74607.87498400745,103270.03676000316,37821.32300329876,18386.954596548654,5515.651555036039
2025-10-05,85023.73988639467,106011.18941242064,36519.901893465285,18584.90296882371,5529.5236883018715
2025-10-12,65049.076496071946,89359.43807322028,26341.784633433068,16118.101048253826,5310.708175437026
2025-10-19,69731.2889321876,103316.11909910207,28306.39789609157,21530.058334577698,5264.430065138732
2025-10-26,69260.72606708463,102471.63795240916,37591.19069415618,13153.40382925466,5403.495584198767
2025-11-02,56815.71087872737,87182.39117106586,36812.918845171094,17882.57513897173,5330.919635278175
2025-11-09,78446.49547454873,107700.73986253636,32619.39915777701,19324.74119600295,5322.721781851218
2025-11-16,78636.88497309755,111220.66059510167,33854.38867994723,21448.24959702846,5340.436588364091
2025-11-23,76264.07252147548,119075.00409234183,42282.34035129157,22608.752150885935,5528.025296063748
2025-11-30,74163.51334872592,119755.70564204878,29537.1198184363,13621.429278117575,5399.116615897171
2025-12-07,60836.22725750641,88818.19406586955,37876.227489114,11784.598186849735,5293.455711567716
2025-12-14,73669.26318432155,95856.59417719096,33023.34202062156,26067.63587386901,5262.395703107286
2025-12-21,75542.13125660906,116323.68552768347,33325.165213941465,21575.24642363053,5349.012265780154
2025-12-28,70992.99471191336,117634.91722307874,42962.828813785934,16412.64780286043,5505.171937353771
